tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes
tt0790636,movie,Dallas Buyers Club,2013,"Biography,Drama",7.9,532873
tt1790864,movie,The Maze Runner,2014,"Action,Mystery,Sci-Fi",6.8,532107
tt1630029,movie,Avatar: The Way of Water,2022,"Action,Adventure,Fantasy",7.5,529275
tt0298148,movie,Shrek 2,2004,"Adventure,Animation,Comedy",7.4,527243
tt0448157,movie,Hancock,2008,"Action,Comedy,Drama",6.4,525410
tt2245084,movie,Big Hero 6,2014,"Action,Adventure,Animation",7.8,525008
tt0119116,movie,The Fifth Element,1997,"Action,Adventure,Sci-Fi",7.6,524000
tt3183660,movie,Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.2,522821
tt1951265,movie,The Hunger Games: Mockingjay - Part 1,2014,"Action,Adventure,Sci-Fi",6.6,520856
tt1895587,movie,Spotlight,2015,"Biography,Crime,Drama",8.1,516248
tt1950186,movie,Ford v Ferrari,2019,"Action,Biography,Drama",8.1,515727
tt2527338,movie,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action,Adventure,Fantasy",6.4,513510
tt1677720,movie,Ready Player One,2018,"Action,Adventure,Sci-Fi",7.4,512587
tt0362227,movie,The Terminal,2004,"Comedy,Drama,Romance",7.4,511395
tt1454029,movie,The Help,2011,Drama,8.1,509832
tt9419884,movie,Doctor Strange in the Multiverse of Madness,2022,"Action,Adventure,Fantasy",6.9,509702
tt1800241,movie,American Hustle,2013,"Crime,Drama",7.2,508592
tt0335266,movie,Lost in Translation,2003,"Comedy,Drama",7.7,508366
tt1596363,movie,The Big Short,2015,"Biography,Comedy,Drama",7.8,506195
tt1535109,movie,Captain Phillips,2013,"Action,Biography,Crime",7.8,505901
tt1723121,movie,We're the Millers,2013,"Comedy,Crime",7.0,503780
tt1408101,movie,Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",7.7,503144
tt0327056,movie,Mystic River,2003,"Crime,Drama,Mystery",7.9,501381
tt0367882,movie,Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action,Adventure",6.2,501340
tt0372183,movie,The Bourne Supremacy,2004,"Action,Thriller",7.7,498285
tt2103281,movie,Dawn of the Planet of the Apes,2014,"Action,Adventure,Drama",7.6,498233
tt0099088,movie,Back to the Future Part III,1990,"Adventure,Comedy,Sci-Fi",7.5,497649
tt0317219,movie,Cars,2006,"Adventure,Animation,Comedy",7.3,497473
tt0458352,movie,The Devil Wears Prada,2006,"Comedy,Drama",6.9,495613
tt0319262,movie,The Day After Tomorrow,2004,"Action,Adventure,Sci-Fi",6.5,494742
tt2980516,movie,The Theory of Everything,2014,"Biography,Drama,Romance",7.7,494597
tt0084787,movie,The Thing,1982,"Horror,Mystery,Sci-Fi",8.2,493612
tt0139654,movie,Training Day,2001,"Crime,Drama,Thriller",7.8,492847
tt1515091,movie,Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Mystery",7.4,490794
tt0974015,movie,Justice League,2017,"Action,Adventure,Fantasy",6.0,489924
tt0407304,movie,War of the Worlds,2005,"Action,Adventure,Sci-Fi",6.5,487980
tt0387564,movie,Saw,2004,"Horror,Mystery,Thriller",7.6,486597
tt0117060,movie,Mission: Impossible,1996,"Action,Adventure,Thriller",7.2,485667
tt1210166,movie,Moneyball,2011,"Biography,Drama,Sport",7.6,483274
tt0887912,movie,The Hurt Locker,2008,"Drama,Thriller,War",7.5,483184
tt0405422,movie,The 40-Year-Old Virgin,2005,"Comedy,Romance",7.1,482884
tt0830515,movie,Quantum of Solace,2008,"Action,Adventure,Mystery",6.5,481482
tt0446029,movie,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy",7.5,479576
tt6263850,movie,Deadpool & Wolverine,2024,"Action,Adventure,Comedy",7.6,479390
tt2379713,movie,Spectre,2015,"Action,Adventure,Thriller",6.8,478783
tt1499658,movie,Horrible Bosses,2011,"Comedy,Crime",6.9,478030
tt0347149,movie,Howl's Moving Castle,2004,"Adventure,Animation,Family",8.2,477775
